All tech questions (~10,000), sorted by priority score
Source: data/scored_questions_10000.csv

rank   score   category            question
-----  ------  ------------------  --------
    1   109.4  Monitors            How do I connect a monitor to a laptop?
    2   107.6  Smartphones         How do I remove an Apple ID from an iPhone?
    3   107.6  Smartphones         How do I scan a QR code with my phone?
    4    98.4  Smartphones         How do I fix a phone that keeps restarting?
    5    94.1  Storage             How do I recover data from a failed drive?
    6    93.8  GPUs                How do I check if my GPU is bottlenecked?
    7    93.8  Storage             How do I check SSD health?
    8    93.8  Storage             How do I clone an SSD?
    9    93.8  Storage             How do I migrate Windows to a new SSD?
   10    93.8  Storage             How do I securely erase an SSD?
   11    93.8  Monitors            How do I fix monitor ghosting?
   12    93.8  Monitors            How do I calibrate a monitor?
   13    91.9  Smartphones         How do I move contacts to a new phone?
   14    91.9  Smartphones         How do I back up my Android phone?
   15    91.9  Smartphones         How do I free up storage on my phone?
   16    91.9  Smartphones         How do I take a screenshot on Android?
   17    91.9  Smartphones         How do I take a screenshot on iPhone?
   18    91.9  Smartphones         How do I record my screen on Android?
   19    91.9  Smartphones         How do I record my screen on iPhone?
   20    91.9  Smartphones         How do I share my phone internet connection?
   21    91.9  PC Hardware         How do I check GPU temperature?
   22    91.9  PC Hardware         How do I reduce GPU temperature?
   23    89.9  Cloud               How do I back up my computer to the cloud?
   24    87.5  Computers           How do I connect two monitors to a laptop?
   25    87.5  Security            How do I know if my password was leaked?
   26    87.5  Security            How do I remove malware from a computer?
   27    87.5  Security            How do I back up files against ransomware?
   28    87.1  WiFi                How do I check which WiFi channel I am using?
   29    84.6  Computers           How do I check how much RAM my computer has?
   30    84.5  EVs                 How do I charge an EV at home?
   31    84.5  EVs                 How do I charge an EV in the Netherlands?
   32    83.1  Smart Home          How do I connect smart devices to WiFi?
   33    81.9  PC Hardware         How do I set up an NVMe SSD?
   34    80.9  TV                  How do I mirror an iPhone to a TV?
   35    80.9  TV                  How do I mirror Android to a TV?
   36    79.3  TV                  How do I connect Bluetooth headphones to a TV?
   37      79  Storage             How do I check hard drive health?
   38    78.8  Smartphones         How do I transfer photos from Android to iPhone?
   39    78.8  Smartphones         How do I transfer WhatsApp from Android to iPhone?
   40    78.8  Smartphones         How do I back up my iPhone?
   41    78.8  Smartphones         How do I find my lost phone?
   42    78.8  Smartphones         How do I reset my phone safely?
   43    78.8  Smartphones         How do I remove a Google account from Android?
   44    78.8  Computers           How do I speed up a slow computer?
   45    78.1  GPUs                How do I stress test a GPU?
   46    78.1  GPUs                How do I update GPU drivers?
   47    76.8  Cloud               How do I move files between cloud services?
   48    75.4  EVs                 How do I set up a Type 2 charging connector?
   49      75  Storage             How much SSD storage do I need?
   50      75  Storage             What causes SSD performance to drop?
   51      75  Storage             Why is SSD storage not working?
   52      75  Security            How do I recognize a phishing email?
   53      75  Security            How do I secure my home WiFi?
   54      75  Security            How do I create a strong password?
   55      75  Security            How do I secure my Google account?
   56      75  Security            How do I secure my Apple account?
   57    74.4  WiFi                How do I set up a mesh WiFi system?
   58    74.4  PC Hardware         How do I check GPU clock speed?
   59    74.2  GPUs                How do I clean a graphics card?
   60    73.6  Storage             What is the difference between SSD storage and older technology?
   61    72.2  Computers           How do I uninstall apps on a Mac?
   62    72.2  Computers           How do I free up disk space on Windows?
   63    72.2  Computers           How do I free up storage on a Mac?
   64    72.2  Computers           How do I take a screenshot on Windows?
   65    72.2  Computers           How do I take a screenshot on a Mac?
   66    72.2  Computers           How do I rename multiple files at once?
   67    72.2  Computers           How do I find large files on my computer?
   68    72.2  Computers           How do I make my laptop run cooler?
   69    72.2  macOS               How do I connect two monitors to a Mac?
   70    72.1  Storage             What is the difference between my SSD slow and older technology?
   71    71.8  Monitors            How do I set up best for 4K?
   72    71.7  Printers            How do I set up my printer printing blank pages?
   73    71.5  Smart Home          How do I reset a smart home device?
   74    71.5  Smart Home          How do I control smart lights from my phone?
   75    71.2  TV                  How do I connect a soundbar to a TV?
   76    71.2  TV                  How do I cast my phone to a TV?
   77      71  Monitors            How do I check refresh rate?
   78      71  Monitors            How do I reset refresh rate?
   79      71  Monitors            How do I update refresh rate?
   80      71  Monitors            How do I connect refresh rate?
   81    70.5  PC Hardware         Why is a GPU not working?
   82    70.5  Storage             Can SSD storage work without internet?
   83    70.5  Security            How do I check two-factor authentication?
   84    70.5  Security            How do I reset two-factor authentication?
   85    70.5  Security            How do I update two-factor authentication?
   86    70.5  Security            How do I connect two-factor authentication?
   87    70.4  Printers            How do I add a printer on Mac?
