id,category,question,intent,slug,suggested_content_type
1,Smartphones,How do I transfer photos from Android to iPhone?,Informational,how-do-i-transfer-photos-from-android-to-iphone,Explainer
2,Smartphones,How do I transfer WhatsApp from Android to iPhone?,Informational,how-do-i-transfer-whatsapp-from-android-to-iphone,Explainer
3,Smartphones,How do I move contacts to a new phone?,Informational,how-do-i-move-contacts-to-a-new-phone,Explainer
4,Smartphones,How do I back up my Android phone?,Informational,how-do-i-back-up-my-android-phone,Explainer
5,Smartphones,How do I back up my iPhone?,Informational,how-do-i-back-up-my-iphone,Explainer
6,Smartphones,How do I free up storage on my phone?,Informational,how-do-i-free-up-storage-on-my-phone,Explainer
7,Smartphones,Why is my phone battery draining so fast?,Informational,why-is-my-phone-battery-draining-so-fast,Explainer
8,Smartphones,Why is my phone charging slowly?,Informational,why-is-my-phone-charging-slowly,Explainer
9,Smartphones,Why does my phone get hot?,Informational,why-does-my-phone-get-hot,Explainer
10,Smartphones,How do I fix a phone that keeps restarting?,Informational,how-do-i-fix-a-phone-that-keeps-restarting,Explainer
11,Smartphones,How do I find my lost phone?,Informational,how-do-i-find-my-lost-phone,Explainer
12,Smartphones,How do I reset my phone safely?,Informational,how-do-i-reset-my-phone-safely,Explainer
13,Smartphones,How do I remove a Google account from Android?,Informational,how-do-i-remove-a-google-account-from-android,Explainer
14,Smartphones,How do I remove an Apple ID from an iPhone?,Informational,how-do-i-remove-an-apple-id-from-an-iphone,Explainer
15,Smartphones,How do I take a screenshot on Android?,Informational,how-do-i-take-a-screenshot-on-android,Explainer
16,Smartphones,How do I take a screenshot on iPhone?,Informational,how-do-i-take-a-screenshot-on-iphone,Explainer
17,Smartphones,How do I record my screen on Android?,Informational,how-do-i-record-my-screen-on-android,Explainer
18,Smartphones,How do I record my screen on iPhone?,Informational,how-do-i-record-my-screen-on-iphone,Explainer
19,Smartphones,How do I scan a QR code with my phone?,Informational,how-do-i-scan-a-qr-code-with-my-phone,Explainer
20,Smartphones,How do I share my phone internet connection?,Informational,how-do-i-share-my-phone-internet-connection,Explainer
21,Smartphones,What is my phone battery draining so fast?,Informational,what-is-my-phone-battery-draining-so-fast,Explainer
22,Smartphones,How does my phone battery draining so fast work?,Informational,how-does-my-phone-battery-draining-so-fast-work,Explainer
23,Smartphones,Why is my phone battery draining so fast important?,Informational,why-is-my-phone-battery-draining-so-fast-important,Explainer
24,Smartphones,What are the advantages of my phone battery draining so fast?,Informational,what-are-the-advantages-of-my-phone-battery-draining-so-fast,Explainer
25,Smartphones,What are the disadvantages of my phone battery draining so fast?,Informational,what-are-the-disadvantages-of-my-phone-battery-draining-so-fast,Explainer
26,Smartphones,Is my phone battery draining so fast worth it?,Informational,is-my-phone-battery-draining-so-fast-worth-it,Explainer
27,Smartphones,Is my phone battery draining so fast safe?,Informational,is-my-phone-battery-draining-so-fast-safe,Explainer
28,Smartphones,Is my phone battery draining so fast compatible with older devices?,Informational,is-my-phone-battery-draining-so-fast-compatible-with-older-devices,Explainer
29,Smartphones,How do I set up my phone battery draining so fast?,Informational,how-do-i-set-up-my-phone-battery-draining-so-fast,Explainer
30,Smartphones,How do I use my phone battery draining so fast?,Informational,how-do-i-use-my-phone-battery-draining-so-fast,Explainer
31,Smartphones,How do I troubleshoot my phone battery draining so fast?,Informational,how-do-i-troubleshoot-my-phone-battery-draining-so-fast,Explainer
32,Smartphones,Why is my phone battery draining so fast not working?,Informational,why-is-my-phone-battery-draining-so-fast-not-working,Explainer
33,Smartphones,Why is my phone battery draining so fast slow?,Informational,why-is-my-phone-battery-draining-so-fast-slow,Explainer
34,Smartphones,How can I improve my phone battery draining so fast?,Informational,how-can-i-improve-my-phone-battery-draining-so-fast,Explainer
35,Smartphones,How do I test my phone battery draining so fast?,Informational,how-do-i-test-my-phone-battery-draining-so-fast,Explainer
36,Smartphones,How do I check my phone battery draining so fast?,Informational,how-do-i-check-my-phone-battery-draining-so-fast,Explainer
37,Smartphones,How do I reset my phone battery draining so fast?,Informational,how-do-i-reset-my-phone-battery-draining-so-fast,Explainer
38,Smartphones,How do I update my phone battery draining so fast?,Informational,how-do-i-update-my-phone-battery-draining-so-fast,Explainer
